paperID,MA_ID,title,guidelines,guidelines_quote,guidelines_name,registration,registration_quote,effect_size_used,effect_size_eqn_quote,meta_analytic_model,meta_analytic_model_quote,sampling_variance,sampling_variance_quote,software,software_quote,software_used,raw_data_shared,processed_data_shared,metadata,code_shared
MRMA_VD_10,MA_031,Meta-analysis reveals enhanced growth of marine harmful algae from temperate regions with warming and elevated CO2 levels,No,NA,NA,No,NA,response ratio,"For each unique data set, log response ratios of growth rates and/or toxin data were calculated for paired observations of ambient and elevated pCO2 or temperature.[...] Log response ratios for growth rate under ambient and high pCO2 were additionally calculated for non‐HAB phytoplankton spe‐ cies using a database compiled for analysing the effects of climate change variables on phytoplankton in general (see Supplement 1 for further details).[...] Bias‐corrected log response ratios (RRΔ) were calculated accord‐ ing to Lajeunesse (2015)......Bias‐corrected log response ratios (RRΔ) were calculated accord‐ ing to Lajeunesse (2015). where X represents the mean of the fixed factor of interest (growth rate, toxin content or toxicity), SD the standard deviation of that mean and n the sample size",Mixed effects model,"Statistical analyses were performed in r version 3.5.0 (R Core Team, 2018). In order to calculate the overall natural log response ratio (RRΔ), mixed effect models were fitted to the data set, yielding spe‐ cific response ratios and their variances using the function rma.mv (package ‘metafor’ version 2.0‐0; Viechtbauer, 2010).",Yes,Bias‐corrected log response ratios (RRΔ) were calculated according to Lajeunesse (2015): [eq],Yes,"From these data sets, data on growth rate, cellular toxin content and/or toxicity under different temperature and CO2 condi‐ tions were extracted, including standard deviations, using Engauge software when needed (Mitchell, Muftakhidinov, & Winchen, 1991). [...] Statistical analyses were performed in r version 3.5.0 (R Core Team, 2018).",R,Yes,No,Yes,No
MRMA_VD_12,MA_032,A meta-analysis of nestedness and turnover components of beta diversity across organisms and ecosystems,No,NA,NA,No,NA,beta-turnover,"Each estimate of beata-turnover, beata-nestedness and beata-total was classified with respect to three continuous variables (latitude, spatial extent and orga- nism body size) and three categorical variables (organism dispersal mode, realm and trophic position). [...] As a meta-regression approach, we used linear modelling (LM) to unite the effects of categorical and continuous variables on beta- diversity components and total beta diversity......NA",Compare weighted and unweighted meta-analysis,"As a meta-regression approach, we used linear modelling (LM) to unite the effects of categorical and continuous variables on beta- diversity components and total beta diversity [...] As the values of the response variables scale from zero to one, we also ran generalized linear models with beta distribution [GLM, betareg function in the package betareg (Zeileis et al., 2016) in R] to explain variation in beta diversity. However, as these models did not converge properly, possibly owing to the large number of categorical variables, we show here the results based on LM..... When multiple linear models were run using the number of sampling sites as a weight for each data point, the results largely agreed with unweighted analyses (Supporting Information Appendix S5).",Yes,"When multiple linear models were run using the number of sampling sites as a weight for each data point, the results largely agreed with unweighted analyses (Supporting Information Appendix S5).",Yes,"We calculated beta-diversity metrics using the betapart package (Baselga, Orme, Villeger, De Bortoli, & Leprieur, 2017) in R version 3.2.2 (R Development Core Team, 2015). [...] As the values of the response variables scale from zero to one, we also ran generalized linear models with beta distribution [GLM, betareg function in the package betareg (Zeileis et al., 2016) in R] to explain variation in beta diversity. [...]",R,Yes,Yes,No,No
MRMA_VD_14,MA_033,Resolving the invasion paradox: pervasive scale and study dependence in the native-alien species richness relationship,No,NA,NA,No,NA,correlation,"We transformed the 161 correlation coefficients to Fisher’s z, which we used as our measure of effect size: We used this transformation because it tends to normalise effect sizes and because the variance, r2
zi of a z-transformed correlation, is, to a very good approximation, only a function of the number of sample plots, ni, used in deriving the correla- tion:.....We transformed the 161 correlation coefficients to Fisher’s z, which we used as our measure of effect size:",Random effects model,We used a random effects meta-analysis to summarise effect sizes across studies and to examine how variation in effect sizes was related to covariates. [...] We fitted random effects meta-analysis models in a Bayesian framework using MCMC sampling implemented in the soft- ware JAGS (Plummer 2003) run through R (R Development Core Team 2018) using the package jagsUI (Kellner 2015).,Yes,"because the variance, r2z I of a z-transformed correlation, is, to a very good approximation, only a function of the number of sample plots, ni, used in deriving the correlation:",Yes,"Where the raw data were presented in graphical form, we extracted the data using DATATHIEF III software (Tummers 2006). [...] We fitted random effects meta-analysis models in a Bayesian framework using MCMC sampling implemented in the soft- ware JAGS (Plummer 2003) run through R (R Development Core Team 2018) using the package jagsUI (Kellner 2015).",R,Yes,No,No,No
MRMA_VD_15,MA_034,Ecological intensification and arbuscular mycorrhizas: a meta-analysis of tillage and cover crop effects,No,NA,NA,No,NA,response ratio,"In our meta-analysis, the log response ratio (ln RR) represents the influence of either cover cropping or alternative tillage on AMF colonization of subsequent cash crop roots: […] On the log scale, an effect size of 0 means no difference and a positive value means that cover cropping or alternative tillage has a positive effect on AMF colonization of cash crop roots......where Xt and Xc are, respectively, the treatment (cover crop or alternative tillage) and control (winter fallow or conventional til- lage) mean calculated for that observation.",Mixed effects model,Response ratios were calculated and analysed using the ‘metafor’ package (Viechtbauer 2010) in R (R Development Core Team 2015) using a mixed effects approach.,Yes,"The variance of response ratios was calculated according to Hedges, Gurevitch & Curtis (1999) using the standard error and number of replicates reported for each individual study.",Yes,Response ratios were calculated and analysed using the ‘metafor’ package (Viechtbauer 2010) in R (R Development Core Team 2015) using a mixed effects approach.,R,Yes,No,No,No
MRMA_VD_16,MA_035,The Heritability of Behavior: A Meta-analysis,Yes,"PRISMA diagram describing the included studies. Of the 639 studies identified via database searches, only 101 were ultimately included in the final analysis. Most of the 538 excluded studies did not report heritabilities, despite heritability being discussed. As our eligibility criteria included particular data requirements (i.e., no reports of heritability ranges), this PRISMA diagram does not include a separate branch for studies excluded due to insufficient data. The 101 studies included in the analysis yielded 476 total estimates of heritability.",PRISMA,No,NA,correlation,"These analyses assume that residual variation is normally distributed. Because heritability esti- mates are, by definition, not normally distributed, we used Fisher’s z-transformation (Zr) prior to all analyses and back-transformed parameter estimates to heritabilities (h2) for interpretation. h2 estimates are reported with 95% confidence intervals for moderators (e.g., Behavioral Category). While Zr was still not normally distrib- uted due to h2 never being less than zero, this transformation best conformed to meta-analytic requirements (see also: Bell et al. 2009, van Oers and Sinn 2013)......NA",Mixed effects model,"To assess our 6 a priori questions we conducted a formal meta- analysis using the metafor package for mixed effect, phylogenetically controlled, models (Viechtbauer 2010).",Yes,"From this model we calculated 1) sampling variance following Nakagawa and Santos (2012), 2) the variation attributable to the published article an estimate was taken from, 3) variation attributable to phylogeny, and 4) calculated the total heterogeneity in the dataset (I2).",No,"To assess our 6 a priori questions we conducted a formal meta- analysis using the metafor package for mixed effect, phylogenetically controlled, models (Viechtbauer 2010).",R,Yes,Yes,No,Yes
MRMA_VD_17,MA_036,"Drought resistance increases from the individual to the ecosystem level in highly diverse Neotropical rainforest: a meta-analysis of leaf, tree and ecosystem responses to drought",No,NA,NA,No,NA,response ratio,"The log response ratio was used as a metric of drought effect size and converted back to percent- age change for convenient interpretation. The log response ratio is the natural-log proportional difference between the means in a treatment and a control group (Hedges et al., 1999; Lajeunesse, 2011). [...] When site averages were used, which was the case for all the other variables, the average and standard de- viation calculated from the different measurement years were used. The log response ratio and sample variance of the vari- ables in individual studies and sites were calculated using the “escalc” routine and the mean effect sizes and 95% con- fidence intervals in the “rma” routine, both available in the R package “metafor” (Viechtbauer, 2017)......No",Mixed effects meta-regression,"Study- averaged wood density was used in the rma routine from the R package metafor (Viechtbauer, 2017) to test whether wood density was a significant moderator variable in the mixed- effect meta-regression model.",Yes,"Measurements were always available in pairs or as repeated measurements (wet season–dry season, dry season–episodic drought), so the variance of the calculated response ratio has to be adjusted for by the Pearson product correlation coefficient between the measurement pairs (Lajeunesse, 2011)",Yes,"Furthermore, the site elevation was extracted from the ALOS global 30m digital surface model (Tadono et al., 2016), which was aggregated to a 1km resolution using Google Earth Engine. [...] The log response ratio and sample variance of the vari- ables in individual studies and sites were calculated using the “escalc” routine and the mean effect sizes and 95% con- fidence intervals in the “rma” routine, both available in the R package “metafor” (Viechtbauer, 2017). [...] Study- averaged wood density was used in the rma routine from the R package metafor (Viechtbauer, 2017) to test whether wood density was a significant moderator variable in the mixed- effect meta-regression model.",R,Yes,Yes,No,No
MRMA_VD_19,MA_037,How general is cognitive ability in non-human animals? A meta-analytical and multi-level reanalysis approach,Yes,We followed the preferred reporting items for systematic reviews and meta-analyses (PRISMA; [41]) approach to col- lect the datasets used in the current study.,PRISMA,No,NA,correlation,"We used a meta-analytical approach to estimate average correlation coefficients, account- ing for variation in sample size. More precisely, we performed different multi-level meta-analytical models using the  meta- for  package [44] in R [45] to estimate the overall mean correlation coefficient of bivariate cognitive performance relationships......NA",Multi-level random effect model,"We used a meta-analytical approach to estimate average correlation coefficients, account- ing for variation in sample size. More precisely, we performed different multi-level meta-analytical models using the ‘meta- for’ package [44] in R [45] to estimate the overall mean correlation coefficient of bivariate cognitive performance relationships. The use of multi-level, i.e. hierarchical, meta-analytical models, allowed correlations to be explicitly modelled within the different levels or factors [46].",Yes,"We used a meta-analytical approach to estimate average correlation coefficients, account- ing for variation in sample size. More precisely, we performed different multi-level meta-analytical models using the  meta- for  package [44] in R [45] to estimate the overall mean correlation coefficient of bivariate cognitive performance relationships.",Yes,"We used a meta-analytical approach to estimate average correlation coefficients, account- ing for variation in sample size. More precisely, we performed different multi-level meta-analytical models using the ‘meta- for’ package [44] in R [45] to estimate the overall mean correlation coefficient of bivariate cognitive performance relationships.",R,Yes,Yes,Yes,Yes
MRMA_VD_20,MA_038,Plant type dominates fine-root C:N:P stoichiometry across China: A meta-analysis,No,NA,NA,No,NA,"element concentration, C:N..",All of the data were log10-transformed before analysis to improve normality and homo- geneity of variances......NA,Unweighted Linear regression,"A linear regression model was used to explore the biogeographi-cal patterns of fine-root stoichiometry. Stepwise multiple regression (SMR) was applied to identify the most influential environmental factors (i.e. MAT, MAP, soil C, N, P concentrations, and soil pH) and to estimate their contributions to fine-root stoichiometry.",No,NA,Yes,"Origin Pro 8 (OriginLab, Northampton, MA, USA) was used to ex- tract the data from publications when data were only presented graphically.[...] To evaluate the relative effects of climate (MAT and MAP), soil (soil total C, N, P concentrations, and pH), and plant type (the combination of plant growth-form and biome type), partial general linear model (GLM) analyses were conducted using R package  relaimpo  (Groemping, 2010). GLM [...] All statistical analyses were conducted using software spss v20 (SPSS Inc., Chicago, IL, USA) and R version 2.15.2 (R Core Team, 2012).
",SPSS,Yes,No,No,No
MRMA_VD_21,MA_039,Soil GHG fluxes are altered by N deposition: New data indicate lower N stimulation of the N2O flux and greater stimulation of the calculated C pools,No,NA,NA,No,NA,response ratio,"A response ratio (RR) was used to represent the magnitude of the N enrichment effects because the bias of the data was low and the sampling distribution was approximately normal (Koricheva, Gurevitch, & Mengersen, 2013). [...] In the meta-analysis, the weighted RR (RR++) was calculated from the RR values of individual pairwise comparisons between treatment and control groups, RRij (i = 1, 2, ..., m; j = 1, 2, ..., k), as in Equation 4......The RR value was calculated as the ratio of the mean value of a given variable in the treatment group (Xe) to that in the control group (Xc; Equation 1).[...] In the meta-analysis, the weighted RR (RR++) was calculated from the RR values of individual pairwise comparisons between treatment and control groups, RRij (i = 1, 2, ..., m; j = 1, 2, ..., k), as in Equation 4.",Random effects model [...] Meta-regressions,"In this meta-analysis, we used a restricted maximum likelihood (REML) random effects model to calculate the RR for the effects of N on each response variable, as recom- mended by Veroniki et al. (2016). The effects were considered sig- nificant if the 95% CI did not cross zero (Koricheva et al., 2013). [...] We used an REML mixed-effects model for the meta-regression in the OpenMEE software package to explore the effect of each categorical group (ecosystem type, climate factor, N rate, N form and experimental duration) on the variables (soil organic C, CO2 emissions, CH4 uptake/ emissions and N2O emissions)",Yes,The corresponding variance (v) for each RR was calculated as follows:,Yes,"All the raw data were either obtained from tables or extracted by digitizing graphs using the GetData Graph Digitizer (http:// www.getda ta-graph-digit izer.com/). [...] The meta-analyses were performed using R software (v.3.1.1; R Development Core Team, 2014), and the  regtest ()  package was used to test the publication bias of our data, with p > .05 indicat- ing no bias in the data collection (Table S2).[...] R software (R Development Core Team, 2014) was used to analyse the linear regression relationships.",R,Yes,Yes,Yes,No
MRMA_VD_24,MA_040,Global patterns in the effects of predator declines on sea urchins,No,NA,NA,No,NA,response ratio,"The log response ratio (LRR) was calculated to quantify the effect of predation on sea urchins, allowing for com- parison of studies from different regions and with different methodologies, and results with clear biological meaning (Hedges et al. 1999). The LRR was defined as ln(Xe/Xc) where Xe is the mean of the response variable (abundance, survival, mortality, predation time or predation index) when predators were in reduced densities or completely absent (exclusion) and Xc is the mean of the response variable with a natural density of predators. For the direct measures of pre- dation pressure (survival, mortality, predation time or preda- tion index), Xe and Xc were coded such that the LRR was always high when predation intensity was high......The log response ratio (LRR) was calculated to quantify the effect of predation on sea urchins, allowing for com- parison of studies from different regions and with different methodologies, and results with clear biological meaning (Hedges et al. 1999). The LRR was defined as ln(Xe/Xc) where Xe is the mean of the response variable (abundance, survival, mortality, predation time or predation index) when predators were in reduced densities or completely absent (exclusion) and Xc is the mean of the response variable with a natural density of predators. For the direct measures of pre- dation pressure (survival, mortality, predation time or preda- tion index), Xe and Xc were coded such that the LRR was always high when predation intensity was high.",Random effects model,"For each model, LRR was the dependent variable, the predictor variable was a fixed independent variable and experiment number included as a random factor to account for any non-independence caused by multiple measures taken from within a single experiment.",Yes,"For the ∼ 80% of studies that provided enough information to estimate variances in both control and exclusion treatments, we ran all analyses as a varianceweighted meta-analysis in addition to the unweighted linear mixed models.",Yes,"Linear mixed effects models were run in in the package lme4 in R 3.8.2 (Bates et al. 2015). [...] REML estimates and bootstrapped 95% confidence intervals were used in all figures. Adjusted marginal R2 and conditional R2 estimates were calculated to indicate relative importance of predictor variables, using the package MuMIn in R (Barton 2013, Nakagawa and Schielzeth 2013). [...] These meta-analyses were conducted in the package metafor (Viechtbauer 2010) and presented in Supplementary material Appendix 2, Table A1",R,No,No,NA,No
MRMA_VD_26,MA_041,Spotted Owls and forest fire: a systematic review and meta-analysis of the evidence,Yes,"Finally, I read all remaining studies at full text and either rejected or accepted into the final review based upon subject matter (Pullin and Stewart 2006, Koricheva et al. 2013).","Pullin and Stewart 2006, Koricheva et al. (2013)",No,NA,SMD,"I noted or calculated the mean, variance (SD), and sample size for burned (treatment) and unburned (control) groups. I calculated raw effect sizes as mean differences ( xburned -xcontrol) and signs (positive or negative) for all reported effects, regardless of their statistical significance.Most papers reported effect sizes as probabilities (occupancy, survival, and foraging habitat selection) so raw effect sizes were scaled between negative and positive one with a mean of zero, making comparison among studies easy. When papers reported multiple effects (e.g., occupancy and reproduction, or survival and recruitment), I recorded each effect individually.....I calculated raw effect sizes as mean or negative) for all reported effects, regardless differences (""xburned - ""xcontrol) and signs (positive of their statistical significance.",Random effects model ; Multi-level meta-regression ; Random effects meta-analysis of variance,"I used three quantitative methods for evaluating the evidence (Koricheva et al. 2013): a ran- dom-effects meta-analysis of mean effect sizes as the standardized difference in means (Hedge s d; Hedges and Olkin 1985).multi-level linear mixedeffects models (hierarchical models) meta-regression of time since fire and percent of high-severity fire in the study area as covariates to explain heterogeneity in mean effect sizes (Hedges and Vevea 1998, Nakagawa and Santos 2012); and a random-effects meta-analysis of variation to examine differences in parameter variances due to fire with effect sizes as the natural logarithm of the ratio between the coefficients of variation (lnCVR; Nakagawa et al. 2015).",Yes,"I noted or calculated the mean, variance (SD), and sample size for burned (treatment) and unburned (control) groups.",Yes,"I conducted all analyses in R 3.3.1 (www.r-pro ject.org). [...] For analyses, I used the metafor package of R (Viechtbauer 2010) and used function metacont for random-effects meta-analyses, function rma.mv for multi-level linear mixed-effects model meta-regression, and function rma for random-effects meta-analysis of variation (Viechtbauer 2010).",R,No,Yes,No,No
MRMA_VD_27,MA_042,Landscape-level patterns in fawn survival across North America,No,NA,NA,No,NA,survival rate,"We included studies that provided fawn survival rate, sample sizes, and reported landscape cover (e.g., forest, agriculture) as percentages.[...] Because we used proportional mortality data, we used a logit transfor- mation, loge(p/[1‚p]), to satisfy the assumptions of linear modeling (Warton and Hui 2011) for all proportions throughout analyses......NA",Weighted linear regression [...] ANOVA,"To investigate the association between fawn survival and landscape-level land use, we performed a weighted linear regression using the package stats in Program R (R Development Core Team 2016), in which the weights were study sample size. We included studies that provided fawn survival rate, sample sizes, and reported landscape cover (e.g., forest, agriculture) as percentages. [...] We used analysis of variance (ANOVA) to test for differences between 1) the proportion and rate of predation-, human-, and natural-caused deaths, 2) the proportion and rate of predation-caused deaths among forested, mixed, and agricultural landscapes, 3) the proportion and rate of human-caused deaths among landscapes, 4) the proportion and rate of natural-caused deaths among landscapes, 5) the proportion of black bear, bobcat, and canid predation, and 6) proportion and rate of canid predation among landscapes",Yes,Study is weighted with sample size,Yes,"To investigate the association between fawn survival and landscape-level land use, we performed a weighted linear regression using the package stats in Program R (R Development Core Team 2016), in which the weights were study sample size. We included studies that provided fawn survival rate, sample sizes, and reported landscape cover (e.g., forest, agriculture) as percentages. [...] We used a weighted linear regression to test the association between fawn survival and deer population density (deer/ km2) and deer density/forested km2 using the package stats in Program R (R Development Core Team 2016).",R,Yes,No,No,No
MRMA_VD_28,MA_043,Quantifying the influence of urban land use on mangrove biology and ecology: A meta-analysis,No,NA,NA,No,NA,raw values from sources,"author is extracting reported values from the papers and analysing them directly, rather than focusing on comparisons or correlations from the papers",Regression and ANOVA,only lm and ANOVA's are used,No,NA,Yes,All statistical analyses and graphics were performed in R.,R,Yes,Yes,No,No
MRMA_VD_29,MA_044,"Conversion of coastal wetlands, riparian wetlands, and peatlands increases greenhouse gas emissions: A global meta-analysis",No,NA,NA,No,NA,response ratio,"Second, the response ratio (RR) was used to evaluate the responses of GHG fluxes to LULCC following Hedges et al. (1999) and Luo et al. (2006). [...] The weighted RR (RR++) was calculated from the individual RRij (i=1, 2,..., m; j=1, 2,..., k) pairwise comparison between the treatment and control groups (Eq. 6), where m is the number of groups and k is the number of comparisons in the i-th group:.....A total of 178 sites with data of the treatment (LULCC types) and control (natural wetlands) groups in the same study area within the same measurement time or with similar observation years (less than 3 years) were used to calculate the RR, which is defined as the natural logarithm of the ratio of the GHG mean values in the treatment groups to that in the control groups (Eq. 3): where Xt and Xc are the means of the concerned variable in the treatment and control groups, respectively. [...] The weighted RR (RR++) was calculated from the individual RRij (i=1, 2,..., m; j=1, 2,..., k) pairwise comparison between the treatment and control groups (Eq. 6), where m is the number of groups and k is the number of comparisons in the i-th group:",ANOVA,"The 95% confidence interval (95% CI) was RR++ ¬± 1.96 S(RR++). If the 95% CI did not overlap with zero, the LULCC response was considered significant.",Yes,The variance (v) was estimated with the following equation …,Yes,ANOVA was performed using the SPSS statistics 23.0 package (SPSS Inc.). RDA was performed using the CANOCO 4.5 package (Microcomputer Power). The ANN was performed using MLP module in SPSS statistics 23.0 package.,SPSS,Yes,No,Yes,No
MRMA_VD_30,MA_045,A meta-analysis on the effects of climate change on the yield and quality of European pastures,No,NA,NA,No,NA,response ratio,"The natural logarithm of the response ratio (L) was used to estimate the effect of the different climate treatments, where =Lln X X(/ )iTiCi (XTi and XCi are the mean outcomes for experiment i under test and control conditions respectively). Assuming XTi and XCi are normally distributed, the variance of Li(Si) can be approximated as (Hedges et al., 1999):.....The natural logarithm of the response ratio (L) was used to estimate the effect of the different climate treatments, where =Lln X X(/ )iTiCi (XTi and XCi are the mean outcomes for experiment i under test and control conditions respectively). Assuming XTi and XCi are normally distributed, the variance of Li(Si) can be approximated as (Hedges et al., 1999):",Mixed effects model,"Mixed models were used in most cases, with fixed effects relating to plant type, climatic treatment, management practices and experimental methodology and with the individual studies as a random effect",Yes,"Assuming XTi and XCi are normally distributed, the variance of Li(Si) can be approximated as (Hedges et al., 1999):",Yes,"The choice of fixed effects was de- termined through REML analysis in GenStat 16th Ed. (VSNi, 2013) and the model was implemented in WinBUGS 1.4.3 (MRC, 2007).[...] WinBUGS fits Bayesian models using Markov Chain Monte Carlo (MCMC) simulations.",WinBUGS,No,No,NA,No
MRMA_VD_31,MA_046,Long-term nitrogen fertilization decreases bacterial diversity and favors the growth of Actinobacteria and Proteobacteria in agro-ecosystems across the globe,No,NA,NA,No,NA,SMD,"The effect of mineral fertilization on soil bacterial diversity was evaluated using Hedges  d, which represents the effect size and was calculated using the following equation (Hedges & Olkin, 1984): where d is the effect size on bacterial diversity, while Xc and Xe denote the means of bacterial diversity in non-fertilized control and fertilizer treatment, respectively. [...] Hedges  d was chosen in this study to calculate the effect size rather than the natural log of the response ratio (RR) because the frequency distribution of bacterial diversity was more unimodal when using Hedges  d......The effect of mineral fertilization on soil bacterial diversity was evaluated using Hedges  d, which represents the effect size and was calculated using the following equation (Hedges & Olkin, 1984): where d is the effect size on bacterial diversity, while Xc and Xe denote the means of bacterial diversity in non-fertilized control and fertilizer treatment, respectively.",Random effects model,"The overall effect size was calculated with a weighted resampling method from a random-effect model using the MetaWin software (Rosenberg et al., 2000).",Yes,"The terms S and J are the pooled standard deviation and correction coefficient, respectively, calculated from the following equations:",Yes,"Both upland soils and paddy soils were included in this analysis. Data presented in the figures were extracted using the Data Thief software (Bas Tummer, Eindhoven, The Netherlands). [...] The relative abundance of dominant bacterial phyla was extracted by Data Thief software. [...] The overall effect size was calculated with a weighted resampling method from a random-effect model using the MetaWin software (Rosenberg et al., 2000).",Metawin,No,No,NA,No
MRMA_VD_32,MA_047,Modeling nitrous oxide emission from rivers: a global assessment,No,NA,NA,No,NA,"Element concentration, NO2 flux..","The compiled database included 169 observations for N2O fluxes, concentrations of nitrate (NO3, 0.001–21.2 mg N L  1), ammonium (NH4, 0.001–12.5 mg N L  1), dissolved inorganic N (DIN, 0.002–21.2 mg N L 1), N2O (0.01–15.5 lg N L 1), dissolved oxygen (DO, 1.5–12.2 mg L  1), and dissolved organic carbon (DOC, 0.26–31.5 mg L  1), N2O saturation (42–2500%),.....NA",Regression,"Therefore, nonparametric tests were conducted for N2O flux, emission factor, DO, discharge, N2O saturation and NO3/NH4/DIN concentrations among different land-use types and climate zones. One-way ANOVA was conducted for water temperature, DOC : DIN ratio and N2O concentration among different land-use types and climate zones after logarithmic or reciprocal transformation. Correlation and regression analyses were performed without transformation (Data S3). To gain insight into the uncertainty of global riverine N2O emission estimates, an uncertainty analysis was performed using Monte Carlo simulation (Data S5).",No,NA,Yes,"All correlation, regression and nonparametric analyses were performed using SPSS (version 17.0, SPSS Inc., Chicago, IL, USA).",SPSS,No,No,NA,No
MRMA_VD_33,MA_048,Challenging a 15-year-old claim: The North Atlantic Oscillation index as a predictor of spring migration phenology of birds,Yes,"we conducted a systematic literature search following the recommendations by Nakagawa, Noble, Senior, and Lagisz (2017).","Nakagawa, Noble, Senior, and Lagisz (2017)",No,NA,correlation,"Prior to effect size analyses, Pearson cor- relation coefficients were converted into Fisher s Z effect sizes (Zr) and the associated variance (to ensure normality) (Koricheva et al., 2013)......Prior to effect size analyses, Pearson cor- relation coefficients were converted into Fisher s Z effect sizes (Zr) and the associated variance (to ensure normality) (Koricheva et al., 2013).",Multi-level random effect model,"The meta-analyses were performed with the   metafor   R package (Viechtbauer, 2010), using multi-level models with random effects for studies, species, and phylogeny. Study, species, and phylogenetic heterogeneity were calculated as the percentage of variance that each factor accounted for (of the total of all variance components) in each model.",Yes,"Prior to effect size analyses, Pearson cor- relation coefficients were converted into Fisher s Z effect sizes (Zr) and the associated variance (to ensure normality) (Koricheva et al., 2013).",Yes,"The meta-analyses were performed with the   metafor   R package (Viechtbauer, 2010), using multi-level models with random effects for studies, species, and phylogeny. Study, species, and phylogenetic heterogeneity were calculated as the percentage of variance that each factor accounted for (of the total of all variance components) in each model.",R,Yes,Yes,No,No
MRMA_VD_34,MA_049,Soil carbon sequestration rates under Mediterranean woody crops using recommended management practices: A meta-analysis,No,NA,NA,No,NA,response ratio,"We assessed 3 effect sizes (Table 3): (i) SOC response ratio, (ii) C sequestration rate, and (iii) efficiency of C sequestration......OC = 0.58 ? SOM). SOC response ratio was calculated applying the Eq. (1): where SOCRMP and SOCControl are the SOC concentrations (g C kg?1 soil) measured in the RMP management and in the control (CONV management) farms, respectively. Nevertheless, in order to normalize the sampling distribution, the natural logarithm of the RR was used (Hedges et al., 1999). Thus, the final equation was (Eq. (2)): We assumed a significant response ratio under a specific management when values were significantly different from 1 (e:g: SOCRMP > SOCControl). [...] To calculate soil C sequestration rate (t C ha?1 yr?1) the change
in the SOC stock (t C ha?1) was calculated according to Eq. (3). where Ct and Ct0 represent SOC stocks (t C ha?1) at the end and the beginning of the experiment, respectively, while t stands for the duration of the experiment (years). [...] In the case of the studies providing enough information on the amount and characteristics of the organic inputs (both internal and external) ? especially for OA and CR inputs ? we also calculated the efficiency (E) of soil C sequestration following the equation
",Random effects model,A   random-effects model   was used to carry out the meta-analysis.,Yes,"Meta-analysis studies usually use the inverse of the variance of each study to weight the results. However, it was not possible in our case because this information was not provided for most of the studies. Thus, studies were weighted by sample size according to the methodology proposed by Adams (1997) (Eq. (7)):",Yes,"As a result of a bootstrapping procedure (999 iterations) using MetaWin software (Rosemberg et al., 2000), 95% confidence intervals (CIs) were generated for each weighted mean effect size.",Metawin,No,No,NA,No
MRMA_VD_36,MA_050,Bottom-up vs. top-down effects on terrestrial insect herbivores: a meta-analysis,No,NA,NA,No,NA,response ratio,"To calculate effect sizes for the meta-analysis, we used log response ratio (RR): RR.....To calculate effect sizes for the meta-analysis, we used log response ratio (RR): Some researchers prioritise using RR because it is not biased by differences in sample size among experiments and usually follows a normal distribution (Hedges et al. 1999; Gruner et al. 2008).",Multi-level random effect model,"For our statistical analysis, we used multi-level error meta-analysis, with publication identity and case identity nested in pub- lication identity as random factors, the moderators and interactions as fixed effects, and RR as the response variable",Yes,We used the inverse of variation from each effect size as our weight in the model,Yes,We performed all statistical tests in R environment 3.4.1 (R Development Core Team 2011).,R,Yes,Yes,Yes,No
MRMA_VD_37,MA_051,Grazing intensity significantly changes the C : N : P stoichiometry in grassland ecosystems,No,NA,NA,No,NA,response ratio,"We used the same methods as Hedges, Gurevitch, and Curtis (1999) and Luo, Hui, and Zhang (2006) to quantify the responses of above- and belowground C, N and P contents and stoichiometry to grazing by using the response ratio (RR), which is the natural logarithm of the ratio between the mean value in grazing (Xt) to that in the control (Xc ) for a concerned variable:
.....We used the same methods as Hedges, Gurevitch, and Curtis (1999) and Luo, Hui, and Zhang (2006) to quantify the responses of above- and belowground C, N and P contents and stoichiometry to grazing by using the response ratio (RR), which is the natural logarithm of the ratio between the mean value in grazing (Xt) to that in the control (Xc ) for a concerned variable:
",Weighted meta-analysis,"The average response ratio (RR++) across a group of experiments was calculated as the weighted mean of individual RR (RRi) with the weight (w) of each RR being the reciprocal of the variance (w = 1/v). […] A t t est w as a pplied t o e xamine t he d ifference i n R R++ between differential grazing intensities in groups with different climate (MAT, MAP), elevation, dominant species (C3 a nd C 4), and (1) soil depth. ...",Yes,The variance (v) of the RR is estimated by:,No,NA,NA,No,No,NA,No
MRMA_VD_38,MA_052,Patterns of coexistence between two mesocarnivores in northern Patagonia in the presence of invasive hares and anthropogenic disturbance,No,NA,NA,No,NA,self-described,"We calculated the weighted mean percentage for each category, using as a weighting factor the number of prey items in a particular study/total number of prey items examined in all studies. We calculated 95% CIs for each category by species.....NA",Fixed effects model,"We used discriminant function analysis to assess whether the proportions of items consumed in each category across studies could be assigned to Geoffroy’s cats or culpeo foxes, fitting prey categories as a single group of independent variables and species as a fixed factor.",Yes,"We calculated the weighted mean percentage for each category, using as a weighting factor the number of prey items in a particular study/total number of prey items examined in all studies. We calculated 95% CIs for each category by species",Yes,"Statistical analyses were performed using SPSS v. 19 (IBM, Chicago, Illinois, USA).",SPSS,No,No,NA,No
